"No.","Time","Source","Destination","Protocol","Length","Info"
"43","141.301315","172.17.79.221","185.180.13.82","UDP","179","43586  >  443 Len=137"
"44","141.301315","172.17.79.221","185.180.13.82","UDP","179","7606  >  443 Len=137"
"45","141.301315","172.17.79.221","185.180.13.82","UDP","179","28053  >  443 Len=137"
"46","141.301315","172.17.79.221","207.246.73.245","UDP","179","52102  >  9993 Len=137"
"47","141.301315","172.17.79.221","207.246.73.245","UDP","179","1154  >  9993 Len=137"
"48","141.301315","172.17.79.221","207.246.73.245","UDP","179","18062  >  9993 Len=137"
"49","141.301315","172.17.79.221","147.75.92.2","UDP","179","39534  >  9993 Len=137"
"50","141.301315","172.17.79.221","147.75.92.2","UDP","179","16302  >  9993 Len=137"
"51","141.301315","172.17.79.221","147.75.92.2","UDP","179","37346  >  9993 Len=137"
"52","141.301315","172.17.79.221","195.181.173.159","UDP","179","46746  >  443 Len=137"
"53","141.301315","172.17.79.221","195.181.173.159","UDP","179","17184  >  443 Len=137"
"54","141.301315","172.17.79.221","195.181.173.159","UDP","179","33471  >  443 Len=137"
"55","141.346183","195.181.173.159","172.17.79.221","ICMP","207","Destination unreachable (Port unreachable)"
"56","141.350136","195.181.173.159","172.17.79.221","ICMP","207","Destination unreachable (Port unreachable)"
"57","141.350512","195.181.173.159","172.17.79.221","ICMP","207","Destination unreachable (Port unreachable)"
"58","141.424156","207.246.73.245","172.17.79.221","ICMP","207","Destination unreachable (Port unreachable)"
"59","141.424221","207.246.73.245","172.17.79.221","ICMP","207","Destination unreachable (Port unreachable)"
"60","141.424262","207.246.73.245","172.17.79.221","ICMP","207","Destination unreachable (Port unreachable)"
"61","141.466104","185.180.13.82","172.17.79.221","ICMP","207","Destination unreachable (Port unreachable)"
"62","141.467080","185.180.13.82","172.17.79.221","ICMP","207","Destination unreachable (Port unreachable)"
"63","141.467830","185.180.13.82","172.17.79.221","ICMP","207","Destination unreachable (Port unreachable)"
"64","141.902459","172.17.79.221","185.180.13.82","UDP","196","56798  >  9993 Len=154"
"65","141.902459","172.17.79.221","185.180.13.82","UDP","196","5316  >  9993 Len=154"
"66","141.902459","172.17.79.221","185.180.13.82","UDP","196","55396  >  9993 Len=154"
"67","141.902459","172.17.79.221","207.246.73.245","UDP","196","21683  >  443 Len=154"
"68","141.902459","172.17.79.221","207.246.73.245","UDP","196","52635  >  443 Len=154"
"69","141.902459","172.17.79.221","207.246.73.245","UDP","196","22618  >  443 Len=154"
"70","141.902459","172.17.79.221","147.75.92.2","UDP","196","9105  >  443 Len=154"
"71","141.902459","172.17.79.221","147.75.92.2","UDP","196","61210  >  443 Len=154"
"72","141.902459","172.17.79.221","147.75.92.2","UDP","196","35110  >  443 Len=154"
"73","141.902459","172.17.79.221","195.181.173.159","UDP","196","10404  >  9993 Len=154"
"74","141.902459","172.17.79.221","195.181.173.159","UDP","196","35188  >  9993 Len=154"
"75","141.902459","172.17.79.221","195.181.173.159","UDP","196","35900  >  9993 Len=154"
"76","141.950606","195.181.173.159","172.17.79.221","UDP","671","9993  >  10404 Len=629"
"77","142.031389","207.246.73.245","172.17.79.221","ICMP","224","Destination unreachable (Port unreachable)"
"78","142.031751","207.246.73.245","172.17.79.221","ICMP","224","Destination unreachable (Port unreachable)"
"79","142.033016","207.246.73.245","172.17.79.221","ICMP","224","Destination unreachable (Port unreachable)"
"80","142.066672","185.180.13.82","172.17.79.221","UDP","671","9993  >  56798 Len=629"
"81","146.905215","172.17.79.221","103.195.103.66","UDP","196","7770  >  9993 Len=154"
"82","146.905215","172.17.79.221","103.195.103.66","UDP","196","8022  >  9993 Len=154"
"83","146.905215","172.17.79.221","103.195.103.66","UDP","196","42274  >  9993 Len=154"
"84","146.905215","172.17.79.221","185.180.13.82","UDP","70","56798  >  9993 Len=28"
"85","146.905215","172.17.79.221","50.7.252.138","UDP","196","61193  >  9993 Len=154"
"86","146.905215","172.17.79.221","50.7.252.138","UDP","196","34139  >  9993 Len=154"
"87","146.905215","172.17.79.221","50.7.252.138","UDP","196","23732  >  9993 Len=154"
"88","146.905215","172.17.79.221","195.181.173.159","UDP","70","10404  >  9993 Len=28"
"89","146.940460","195.181.173.159","172.17.79.221","UDP","79","9993  >  10404 Len=37"
"90","147.015060","103.195.103.66","172.17.79.221","UDP","671","9993  >  7770 Len=629"
"91","147.065541","185.180.13.82","172.17.79.221","UDP","79","9993  >  56798 Len=37"
"92","147.101894","50.7.252.138","172.17.79.221","UDP","671","9993  >  61193 Len=629"
"93","151.909268","172.17.79.221","103.195.103.66","UDP","70","7770  >  9993 Len=28"
"94","151.909268","172.17.79.221","185.180.13.82","UDP","196","56798  >  9993 Len=154"
"95","151.909268","172.17.79.221","185.180.13.82","UDP","196","5316  >  9993 Len=154"
"96","151.909268","172.17.79.221","185.180.13.82","UDP","196","55396  >  9993 Len=154"
"97","151.909268","172.17.79.221","50.7.252.138","UDP","70","61193  >  9993 Len=28"
"98","151.909268","172.17.79.221","195.181.173.159","UDP","196","10404  >  9993 Len=154"
"99","151.909268","172.17.79.221","195.181.173.159","UDP","196","35188  >  9993 Len=154"
"100","151.909268","172.17.79.221","195.181.173.159","UDP","196","35900  >  9993 Len=154"
"101","151.941488","195.181.173.159","172.17.79.221","UDP","671","9993  >  10404 Len=629"
"102","152.016293","103.195.103.66","172.17.79.221","UDP","79","9993  >  7770 Len=37"
"103","152.064852","185.180.13.82","172.17.79.221","UDP","671","9993  >  56798 Len=629"
"104","152.102922","50.7.252.138","172.17.79.221","UDP","79","9993  >  61193 Len=37"
"105","156.914009","172.17.79.221","103.195.103.66","UDP","196","7770  >  9993 Len=154"
"106","156.914009","172.17.79.221","103.195.103.66","UDP","196","8022  >  9993 Len=154"
"107","156.914009","172.17.79.221","103.195.103.66","UDP","196","42274  >  9993 Len=154"
"108","156.914009","172.17.79.221","185.180.13.82","UDP","196","56798  >  9993 Len=154"
"109","156.914009","172.17.79.221","185.180.13.82","UDP","196","5316  >  9993 Len=154"
"110","156.914009","172.17.79.221","185.180.13.82","UDP","196","55396  >  9993 Len=154"
"111","156.914009","172.17.79.221","50.7.252.138","UDP","196","61193  >  9993 Len=154"
"112","156.914009","172.17.79.221","50.7.252.138","UDP","196","34139  >  9993 Len=154"
"113","156.914009","172.17.79.221","50.7.252.138","UDP","196","23732  >  9993 Len=154"
"114","156.914009","172.17.79.221","195.181.173.159","UDP","196","10404  >  9993 Len=154"
"115","156.914009","172.17.79.221","195.181.173.159","UDP","196","35188  >  9993 Len=154"
"116","156.914009","172.17.79.221","195.181.173.159","UDP","196","35900  >  9993 Len=154"
"117","156.953298","195.181.173.159","172.17.79.221","UDP","671","9993  >  10404 Len=629"
"118","157.021498","103.195.103.66","172.17.79.221","UDP","671","9993  >  7770 Len=629"
"119","157.075981","185.180.13.82","172.17.79.221","UDP","671","9993  >  56798 Len=629"
"120","157.111890","50.7.252.138","172.17.79.221","UDP","671","9993  >  61193 Len=629"
"125","161.918474","172.17.79.221","103.195.103.66","UDP","196","7770  >  9993 Len=154"
"126","161.918474","172.17.79.221","103.195.103.66","UDP","196","8022  >  9993 Len=154"
"127","161.918474","172.17.79.221","103.195.103.66","UDP","196","42274  >  9993 Len=154"
"128","161.918474","172.17.79.221","185.180.13.82","UDP","70","56798  >  9993 Len=28"
"129","161.918474","172.17.79.221","50.7.252.138","UDP","196","61193  >  9993 Len=154"
"130","161.918474","172.17.79.221","50.7.252.138","UDP","196","34139  >  9993 Len=154"
"131","161.918474","172.17.79.221","50.7.252.138","UDP","196","23732  >  9993 Len=154"
"132","161.918474","172.17.79.221","195.181.173.159","UDP","70","10404  >  9993 Len=28"
"133","161.953928","195.181.173.159","172.17.79.221","UDP","79","9993  >  10404 Len=37"
"134","162.027267","103.195.103.66","172.17.79.221","UDP","671","9993  >  7770 Len=629"
"135","162.077519","185.180.13.82","172.17.79.221","UDP","79","9993  >  56798 Len=37"
"136","162.114628","50.7.252.138","172.17.79.221","UDP","671","9993  >  61193 Len=629"
"137","166.921854","172.17.79.221","103.195.103.66","UDP","70","7770  >  9993 Len=28"
"138","166.921854","172.17.79.221","185.180.13.82","UDP","196","56798  >  9993 Len=154"
"139","166.921854","172.17.79.221","185.180.13.82","UDP","196","5316  >  9993 Len=154"
"140","166.921854","172.17.79.221","185.180.13.82","UDP","196","55396  >  9993 Len=154"
"141","166.921854","172.17.79.221","50.7.252.138","UDP","70","61193  >  9993 Len=28"
"142","166.921854","172.17.79.221","195.181.173.159","UDP","196","10404  >  9993 Len=154"
"143","166.921854","172.17.79.221","195.181.173.159","UDP","196","35188  >  9993 Len=154"
"144","166.921854","172.17.79.221","195.181.173.159","UDP","196","35900  >  9993 Len=154"
"145","166.953821","195.181.173.159","172.17.79.221","UDP","671","9993  >  10404 Len=629"
"146","167.028390","103.195.103.66","172.17.79.221","UDP","79","9993  >  7770 Len=37"
"147","167.078480","185.180.13.82","172.17.79.221","UDP","671","9993  >  56798 Len=629"
"148","167.115135","50.7.252.138","172.17.79.221","UDP","79","9993  >  61193 Len=37"
"149","171.926302","172.17.79.221","103.195.103.66","UDP","196","7770  >  9993 Len=154"
"150","171.926302","172.17.79.221","103.195.103.66","UDP","196","8022  >  9993 Len=154"
"151","171.926302","172.17.79.221","103.195.103.66","UDP","196","42274  >  9993 Len=154"
"152","171.926302","172.17.79.221","185.180.13.82","UDP","196","56798  >  9993 Len=154"
"153","171.926302","172.17.79.221","185.180.13.82","UDP","196","5316  >  9993 Len=154"
"154","171.926302","172.17.79.221","185.180.13.82","UDP","196","55396  >  9993 Len=154"
"155","171.926302","172.17.79.221","50.7.252.138","UDP","196","61193  >  9993 Len=154"
"156","171.926302","172.17.79.221","50.7.252.138","UDP","196","34139  >  9993 Len=154"
"157","171.926302","172.17.79.221","50.7.252.138","UDP","196","23732  >  9993 Len=154"
"158","171.926302","172.17.79.221","195.181.173.159","UDP","196","10404  >  9993 Len=154"
"159","171.926302","172.17.79.221","195.181.173.159","UDP","196","35188  >  9993 Len=154"
"160","171.926302","172.17.79.221","195.181.173.159","UDP","196","35900  >  9993 Len=154"
"161","171.965385","195.181.173.159","172.17.79.221","UDP","671","9993  >  10404 Len=629"
"162","172.034363","103.195.103.66","172.17.79.221","UDP","671","9993  >  7770 Len=629"
"163","172.086167","185.180.13.82","172.17.79.221","UDP","671","9993  >  56798 Len=629"
"164","172.124260","50.7.252.138","172.17.79.221","UDP","671","9993  >  61193 Len=629"
"165","176.930118","172.17.79.221","103.195.103.66","UDP","196","7770  >  9993 Len=154"
"166","176.930118","172.17.79.221","103.195.103.66","UDP","196","8022  >  9993 Len=154"
"167","176.930118","172.17.79.221","103.195.103.66","UDP","196","42274  >  9993 Len=154"
"168","176.930118","172.17.79.221","185.180.13.82","UDP","70","56798  >  9993 Len=28"
"169","176.930118","172.17.79.221","50.7.252.138","UDP","196","61193  >  9993 Len=154"
"170","176.930118","172.17.79.221","50.7.252.138","UDP","196","34139  >  9993 Len=154"
"171","176.930118","172.17.79.221","50.7.252.138","UDP","196","23732  >  9993 Len=154"
"172","176.930118","172.17.79.221","195.181.173.159","UDP","70","10404  >  9993 Len=28"
"173","176.965252","195.181.173.159","172.17.79.221","UDP","79","9993  >  10404 Len=37"
"174","177.037276","103.195.103.66","172.17.79.221","UDP","671","9993  >  7770 Len=629"
"175","177.088208","185.180.13.82","172.17.79.221","UDP","79","9993  >  56798 Len=37"
"176","177.124288","50.7.252.138","172.17.79.221","UDP","671","9993  >  61193 Len=629"
"177","181.933900","172.17.79.221","103.195.103.66","UDP","70","7770  >  9993 Len=28"
"178","181.933900","172.17.79.221","185.180.13.82","UDP","196","56798  >  9993 Len=154"
"179","181.933900","172.17.79.221","185.180.13.82","UDP","196","5316  >  9993 Len=154"
"180","181.933900","172.17.79.221","185.180.13.82","UDP","196","55396  >  9993 Len=154"
"181","181.933900","172.17.79.221","50.7.252.138","UDP","70","61193  >  9993 Len=28"
"182","181.933900","172.17.79.221","195.181.173.159","UDP","196","10404  >  9993 Len=154"
"183","181.933900","172.17.79.221","195.181.173.159","UDP","196","35188  >  9993 Len=154"
"184","181.933900","172.17.79.221","195.181.173.159","UDP","196","35900  >  9993 Len=154"
"185","181.966096","195.181.173.159","172.17.79.221","UDP","671","9993  >  10404 Len=629"
"186","182.040760","103.195.103.66","172.17.79.221","UDP","79","9993  >  7770 Len=37"
"187","182.090032","185.180.13.82","172.17.79.221","UDP","671","9993  >  56798 Len=629"
"188","182.127708","50.7.252.138","172.17.79.221","UDP","79","9993  >  61193 Len=37"
"189","186.937378","172.17.79.221","103.195.103.66","UDP","196","7770  >  9993 Len=154"
"190","186.937378","172.17.79.221","103.195.103.66","UDP","196","8022  >  9993 Len=154"
"191","186.937378","172.17.79.221","103.195.103.66","UDP","196","42274  >  9993 Len=154"
"192","186.937378","172.17.79.221","185.180.13.82","UDP","196","56798  >  9993 Len=154"
"193","186.937378","172.17.79.221","185.180.13.82","UDP","196","5316  >  9993 Len=154"
"194","186.937378","172.17.79.221","185.180.13.82","UDP","196","55396  >  9993 Len=154"
"195","186.937378","172.17.79.221","50.7.252.138","UDP","196","61193  >  9993 Len=154"
"196","186.937378","172.17.79.221","50.7.252.138","UDP","196","34139  >  9993 Len=154"
"197","186.937378","172.17.79.221","50.7.252.138","UDP","196","23732  >  9993 Len=154"
"198","186.937378","172.17.79.221","195.181.173.159","UDP","196","10404  >  9993 Len=154"
"199","186.937378","172.17.79.221","195.181.173.159","UDP","196","35188  >  9993 Len=154"
"200","186.937378","172.17.79.221","195.181.173.159","UDP","196","35900  >  9993 Len=154"
"201","186.977899","195.181.173.159","172.17.79.221","UDP","671","9993  >  10404 Len=629"
"202","187.045299","103.195.103.66","172.17.79.221","UDP","671","9993  >  7770 Len=629"
"203","187.096938","185.180.13.82","172.17.79.221","UDP","671","9993  >  56798 Len=629"
"204","187.136441","50.7.252.138","172.17.79.221","UDP","671","9993  >  61193 Len=629"
"205","191.942845","172.17.79.221","103.195.103.66","UDP","196","7770  >  9993 Len=154"
"206","191.942845","172.17.79.221","103.195.103.66","UDP","196","8022  >  9993 Len=154"
"207","191.942845","172.17.79.221","103.195.103.66","UDP","196","42274  >  9993 Len=154"
"208","191.942845","172.17.79.221","185.180.13.82","UDP","70","56798  >  9993 Len=28"
"209","191.942845","172.17.79.221","50.7.252.138","UDP","196","61193  >  9993 Len=154"
"210","191.942845","172.17.79.221","50.7.252.138","UDP","196","34139  >  9993 Len=154"
"211","191.942845","172.17.79.221","50.7.252.138","UDP","196","23732  >  9993 Len=154"
"212","191.942845","172.17.79.221","195.181.173.159","UDP","70","10404  >  9993 Len=28"
"213","191.977285","195.181.173.159","172.17.79.221","UDP","79","9993  >  10404 Len=37"
"215","192.050542","103.195.103.66","172.17.79.221","UDP","671","9993  >  7770 Len=629"
"216","192.101141","185.180.13.82","172.17.79.221","UDP","79","9993  >  56798 Len=37"
"218","192.139600","50.7.252.138","172.17.79.221","UDP","671","9993  >  61193 Len=629"
"225","196.952234","172.17.79.221","103.195.103.66","UDP","70","7770  >  9993 Len=28"
"226","196.952234","172.17.79.221","185.180.13.82","UDP","196","56798  >  9993 Len=154"
"227","196.952234","172.17.79.221","185.180.13.82","UDP","196","5316  >  9993 Len=154"
"228","196.952234","172.17.79.221","185.180.13.82","UDP","196","55396  >  9993 Len=154"
"229","196.952234","172.17.79.221","50.7.252.138","UDP","70","61193  >  9993 Len=28"
"230","196.952234","172.17.79.221","195.181.173.159","UDP","196","10404  >  9993 Len=154"
"231","196.952234","172.17.79.221","195.181.173.159","UDP","196","35188  >  9993 Len=154"
"232","196.952234","172.17.79.221","195.181.173.159","UDP","196","35900  >  9993 Len=154"
"234","197.138899","195.181.173.159","172.17.79.221","UDP","671","9993  >  10404 Len=629"
"235","197.139401","185.180.13.82","172.17.79.221","UDP","671","9993  >  56798 Len=629"
"236","197.139477","103.195.103.66","172.17.79.221","UDP","79","9993  >  7770 Len=37"
"237","197.167984","50.7.252.138","172.17.79.221","UDP","79","9993  >  61193 Len=37"
"239","201.958317","172.17.79.221","103.195.103.66","UDP","196","7770  >  9993 Len=154"
"240","201.958317","172.17.79.221","103.195.103.66","UDP","196","8022  >  9993 Len=154"
"241","201.958317","172.17.79.221","103.195.103.66","UDP","196","42274  >  9993 Len=154"
"242","201.958317","172.17.79.221","185.180.13.82","UDP","196","56798  >  9993 Len=154"
"243","201.958317","172.17.79.221","185.180.13.82","UDP","196","5316  >  9993 Len=154"
"244","201.958317","172.17.79.221","185.180.13.82","UDP","196","55396  >  9993 Len=154"
"245","201.958317","172.17.79.221","50.7.252.138","UDP","196","61193  >  9993 Len=154"
"246","201.958317","172.17.79.221","50.7.252.138","UDP","196","34139  >  9993 Len=154"
"247","201.958317","172.17.79.221","50.7.252.138","UDP","196","23732  >  9993 Len=154"
"248","201.958317","172.17.79.221","195.181.173.159","UDP","196","10404  >  9993 Len=154"
"249","201.958317","172.17.79.221","195.181.173.159","UDP","196","35188  >  9993 Len=154"
"250","201.958317","172.17.79.221","195.181.173.159","UDP","196","35900  >  9993 Len=154"
"251","201.999449","195.181.173.159","172.17.79.221","UDP","671","9993  >  10404 Len=629"
"252","202.068273","103.195.103.66","172.17.79.221","UDP","671","9993  >  7770 Len=629"
"253","202.119548","185.180.13.82","172.17.79.221","UDP","671","9993  >  56798 Len=629"
"254","202.158869","50.7.252.138","172.17.79.221","UDP","671","9993  >  61193 Len=629"
"256","206.966685","172.17.79.221","103.195.103.66","UDP","196","7770  >  9993 Len=154"
"257","206.966685","172.17.79.221","103.195.103.66","UDP","196","8022  >  9993 Len=154"
"258","206.966685","172.17.79.221","103.195.103.66","UDP","196","42274  >  9993 Len=154"
"259","206.966685","172.17.79.221","185.180.13.82","UDP","70","56798  >  9993 Len=28"
"260","206.966685","172.17.79.221","50.7.252.138","UDP","196","61193  >  9993 Len=154"
"261","206.966685","172.17.79.221","50.7.252.138","UDP","196","34139  >  9993 Len=154"
"262","206.966685","172.17.79.221","50.7.252.138","UDP","196","23732  >  9993 Len=154"
"263","206.966685","172.17.79.221","195.181.173.159","UDP","70","10404  >  9993 Len=28"
"264","207.001358","195.181.173.159","172.17.79.221","UDP","79","9993  >  10404 Len=37"
"265","207.074064","103.195.103.66","172.17.79.221","UDP","671","9993  >  7770 Len=629"
"266","207.126081","185.180.13.82","172.17.79.221","UDP","79","9993  >  56798 Len=37"
"267","207.161706","50.7.252.138","172.17.79.221","UDP","671","9993  >  61193 Len=629"
"268","211.977620","172.17.79.221","103.195.103.66","UDP","70","7770  >  9993 Len=28"
"269","211.977620","172.17.79.221","185.180.13.82","UDP","196","56798  >  9993 Len=154"
"270","211.977620","172.17.79.221","185.180.13.82","UDP","196","5316  >  9993 Len=154"
"271","211.977620","172.17.79.221","185.180.13.82","UDP","196","55396  >  9993 Len=154"
"272","211.977620","172.17.79.221","50.7.252.138","UDP","70","61193  >  9993 Len=28"
"273","211.977620","172.17.79.221","195.181.173.159","UDP","196","10404  >  9993 Len=154"
"274","211.977620","172.17.79.221","195.181.173.159","UDP","196","35188  >  9993 Len=154"
"275","211.977620","172.17.79.221","195.181.173.159","UDP","196","35900  >  9993 Len=154"
"276","212.009857","195.181.173.159","172.17.79.221","UDP","671","9993  >  10404 Len=629"
"277","212.084344","103.195.103.66","172.17.79.221","UDP","79","9993  >  7770 Len=37"
"278","212.133819","185.180.13.82","172.17.79.221","UDP","671","9993  >  56798 Len=629"
"279","212.170600","50.7.252.138","172.17.79.221","UDP","79","9993  >  61193 Len=37"
"280","216.988405","172.17.79.221","103.195.103.66","UDP","196","7770  >  9993 Len=154"
"281","216.988405","172.17.79.221","103.195.103.66","UDP","196","8022  >  9993 Len=154"
"282","216.988405","172.17.79.221","103.195.103.66","UDP","196","42274  >  9993 Len=154"
"283","216.988405","172.17.79.221","185.180.13.82","UDP","196","56798  >  9993 Len=154"
"284","216.988405","172.17.79.221","185.180.13.82","UDP","196","5316  >  9993 Len=154"
"285","216.988405","172.17.79.221","185.180.13.82","UDP","196","55396  >  9993 Len=154"
"286","216.988405","172.17.79.221","50.7.252.138","UDP","196","61193  >  9993 Len=154"
"287","216.988405","172.17.79.221","50.7.252.138","UDP","196","34139  >  9993 Len=154"
"288","216.988405","172.17.79.221","50.7.252.138","UDP","196","23732  >  9993 Len=154"
"289","216.988405","172.17.79.221","195.181.173.159","UDP","196","10404  >  9993 Len=154"
"290","216.988405","172.17.79.221","195.181.173.159","UDP","196","35188  >  9993 Len=154"
"291","216.988405","172.17.79.221","195.181.173.159","UDP","196","35900  >  9993 Len=154"
"292","217.046682","195.181.173.159","172.17.79.221","UDP","671","9993  >  10404 Len=629"
"293","217.100333","103.195.103.66","172.17.79.221","UDP","671","9993  >  7770 Len=629"
"294","217.150969","185.180.13.82","172.17.79.221","UDP","671","9993  >  56798 Len=629"
"295","217.194743","50.7.252.138","172.17.79.221","UDP","671","9993  >  61193 Len=629"
"296","221.997080","172.17.79.221","103.195.103.66","UDP","196","7770  >  9993 Len=154"
"297","221.997080","172.17.79.221","103.195.103.66","UDP","196","8022  >  9993 Len=154"
"298","221.997080","172.17.79.221","103.195.103.66","UDP","196","42274  >  9993 Len=154"
"299","221.997080","172.17.79.221","185.180.13.82","UDP","70","56798  >  9993 Len=28"
"300","221.997080","172.17.79.221","50.7.252.138","UDP","196","61193  >  9993 Len=154"
"301","221.997080","172.17.79.221","50.7.252.138","UDP","196","34139  >  9993 Len=154"
"302","221.997080","172.17.79.221","50.7.252.138","UDP","196","23732  >  9993 Len=154"
"303","221.997080","172.17.79.221","195.181.173.159","UDP","70","10404  >  9993 Len=28"
"304","222.032431","195.181.173.159","172.17.79.221","UDP","79","9993  >  10404 Len=37"
"305","222.106233","103.195.103.66","172.17.79.221","UDP","671","9993  >  7770 Len=629"
"306","222.156850","185.180.13.82","172.17.79.221","UDP","79","9993  >  56798 Len=37"
"307","222.192867","50.7.252.138","172.17.79.221","UDP","671","9993  >  61193 Len=629"
"308","222.741891","172.17.79.209","172.17.79.223","BROWSER","243","Local Master Announcement SAMROCKWELL, Workstation, Server, NT Workstation, Potential Browser, Master Browser"
